subject_id,trial_id,class_label,original_trial_index,run_id,run_id_source,included,exclusion_reason,split,split_method,random_seed
s01,s01_left_hand_000,left_hand,0,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_001,left_hand,1,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_002,left_hand,2,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_003,left_hand,3,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_004,left_hand,4,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_005,left_hand,5,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_006,left_hand,6,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_007,left_hand,7,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_008,left_hand,8,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_009,left_hand,9,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_010,left_hand,10,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_011,left_hand,11,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_012,left_hand,12,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_013,left_hand,13,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_014,left_hand,14,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_015,left_hand,15,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_016,left_hand,16,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_017,left_hand,17,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_018,left_hand,18,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_019,left_hand,19,1,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_020,left_hand,20,2,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_021,left_hand,21,2,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_022,left_hand,22,2,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_023,left_hand,23,2,inferred_from_protocol,True,,train,run_holdout,-1
s01,s01_left_hand_024,left_hand,24,2,inferred_from_protocol,True,,train,run_holdout,-1
